Doc_ID,Source,Date,Section,Text,clean_text
F001,FCA CP21/23,2021-09-20,Consumer Protection,"Cryptoasset promotions must be fair, clear, and not misleading according to FCA oversight expectations. Many consumers invest based on hype without understanding volatility, scams, hacking risks, or lack of compensation rights. Crypto firms must include risk warnings in all marketing, provide accurate pricing information, and protect customer funds with strong operational security. FCA emphasises classification clarity to stop misleading token advertisements. Investments in unregulated assets must be communicated as high-risk, with platforms disclosing that users may lose all their money. Compliance with AML frameworks and identity verification procedures is required before business expansion.",consumer protection
F002,FCA CP22/4,2022-07-10,Financial Crime,"The FCA identifies increasing exposure to financial crime because decentralised crypto markets allow anonymity and cross-border velocity of funds. Unregistered companies breach AML requirements, putting consumers at elevated fraud risk. Firms must apply real-time monitoring of high-risk transactions, sanctions screening, record keeping, and suspicious activity reports. Blockchain forensic tools should be integrated to track illicit wallets. Warnings are issued to consumers about contacting platforms without FCA approval.",financial crime
F003,FCA CP23/8,2023-05-02,Systemic Stability,"Stablecoins used as widespread payment instruments may threaten financial stability if not backed by high-quality reserves. FCA consultation proposes that stablecoin issuers implement 1:1 asset backing, independent audits, secure custody, and operational resilience strategies. Market participants must prepare for stress events, redemptions, and cybersecurity incidents.",systemic stability
F004,FCA Guidance,2022-01-14,Risk Warnings,"Firms must warn customers that trading and holding cryptoassets carry high risk. Price manipulation, technical failures, liquidity shortages, and exchange insolvencies can lead to permanent loss. FCA enforcement actions will be taken against misleading advertisements, influencers promoting illegal trading, and platforms not providing transparent disclosures.",risk warnings
F005,FCA Consultation,2023-03-27,Market Oversight,"FCA seeks reporting obligations for trading venues to detect insider market conduct. Rules will introduce governance checks, liquidity management expectations, and transparency obligations to prevent unfair practices in crypto markets. The goal is consumer confidence and improved market integrity in digital-asset trading.",market oversight
F006,FCA Policy Note,2022-09-05,Exchange Registration,"All firms offering cryptoasset services in the UK must register with the FCA to demonstrate proper AML and risk-management controls. Applications rejected frequently due to weak governance, failure to implement transaction surveillance, and unsafe system design. Registration remains mandatory before customer onboarding.",exchange registration
F007,FCA Public Statement,2021-12-18,Fraud Prevention,"FCA warns of rising scam tokens, fake endorsements, and criminals using social media to deceive investors. Consumers must verify platform legitimacy via the FCA Register. Firms must implement fraud detection analytics, identity checks, and customer-fund isolation to limit theft and market abuse.",fraud prevention
F008,FCA Research,2023-07-08,Consumer Behaviour,"Surveys show UK retail crypto adoption continues despite collapses in global exchanges. Many users underestimate volatility and liquidity risk. FCA is expanding public education campaigns, encouraging users to consider affordability and long-term resilience. Trusted information channels are required to reduce panic selling.",consumer behaviour
F009,FCA Policy Update,2023-10-12,Token Classification,"FCA introduces clearer definitions distinguishing utility, security, exchange, and e-money tokens. These category frameworks improve regulatory consistency, ensure better transparency, and reduce loopholes that firms previously exploited to avoid consumer protection rules.",token classification
F010,FCA Warning List,2022-04-03,Enforcement,"The FCA publishes a list of unregistered crypto firms to alert consumers before investing. These companies cannot legally operate in the UK. Enforcement actions may include asset freezing, blocking UK user access, criminal penalties, and reputational warnings issued to media outlets. Users are advised there is no FSCS compensation if losses occur.",enforcement
F011,FCA CP23/15,2023-08-04,Operational Resilience,"The FCA mandates crypto providers to demonstrate operational continuity during outages, security breaches, or liquidity pressure. Users must retain access to funds without delay. Platforms must keep back-up systems, stress-test redemption models, and maintain clear incident-response plans. Failure in a large exchange could trigger widespread disruption affecting retail and commercial clients.",operational resilience
F012,FCA Notice,2021-10-01,Conduct Rules,"Firms misleading customers with false promises about profits or guaranteed returns face enforcement action. Clear communication of risks is mandatory. Advertising must reflect actual product features, and not push speculative assets to inexperienced consumers. Compliance monitors can request changes or impose penalties.",conduct rules
F013,FCA Thematic Review,2022-11-17,Crypto Custody,"Cryptoasset custody solutions must protect private keys from unauthorised access through cold storage, multi-factor controls, and insurance coverage. FCA requires firms to segregate client assets to prevent misuse and conduct independent audits of holdings stored on-chain. Safeguarding enhances trust and prevents catastrophic losses during insolvency.",crypto custody
F014,FCA Regulatory Strategy,2023-01-29,Global Coordination,"Because crypto transactions move across borders instantly, harmonised regulation strengthens oversight. FCA collaborates with EU, US, G20, and FATF organisations to reduce regulatory arbitrage and support international enforcement. Cooperation helps track high-risk jurisdictions, sanction evasion, and crime networks.",global coordination
F015,FCA Guidance Update,2022-06-30,Token Issuance,"New token projects must ensure fair valuation through transparent tokenomics, governance structures, and lock-up arrangements. The FCA examines whether issuers disclose risk factors, development timelines, and investor rights. Protection from insider manipulation is central to stable growth.",token issuance
F016,FCA AML Guidance,2022-02-27,Anti-Money Laundering,"FCA demands strict compliance through KYC verification, risk-based monitoring, sanctions screening, and wallet-tracking technology. Suspicious activity reporting protects markets from being used for laundering proceeds of crime. Significant penalties exist for firms that neglect regulation or support illicit behaviour.",anti money laundering
F017,FCA Risk Report,2023-06-19,Consumer Risk Analysis,"FCA surveys show that many UK citizens buy crypto based on social media advice. Many assume compensation is available if an exchange fails, which is incorrect. The regulator aims to reduce harm through consumer testing, mandatory disclaimers, and higher oversight of marketing.",consumer risk analysis
F018,FCA Operational Policy,2021-11-25,Resilience Framework,"Crypto firms must maintain secure technical infrastructure capable of handling rapid changes in transaction volume. Outages during market volatility can trap funds and lead to serious customer harm. FCA expects disaster recovery capabilities, cyber testing, and third-party risk assessments.",resilience framework
F019,FCA International Strategy,2023-09-02,Global Policy Alignment,"FCA stresses that international rules will improve interoperability, reduce systemic risk, and support innovation. Cross-border surveillance prevents criminals exploiting jurisdictions with weak controls. The UK regulatory model aims to be globally competitive while ensuring high safety standards.",global policy alignment
F020,FCA Enforcement Action,2022-05-15,Breach Reporting,"Enforcement actions target firms falsely claiming FCA authorisation. The regulator publishes warning lists to protect consumers and maintains the authority to block access, freeze assets, or prosecute management. FCA urges the public to check firm status before transferring funds to prevent irreversible losses.",breach reporting
